plant_part.n.01	plant_part.n.01
ordering.n.01	ordering.n.01
unit.n.04	unit.n.04
placement.n.03	placement.n.03
lawsuit.n.01	lawsuit.n.01
series.n.01	series.n.01
quotient.n.01	quotient.n.01
direction.n.02	direction.n.02
evidence.n.01	evidence.n.01
proportion.n.01	proportion.n.01
inquiry.n.01	inquiry.n.01
plant_organ.n.01	plant_organ.n.01
hour.n.01	hour.n.01
championship.n.01	championship.n.01
country.n.04	country.n.04
domestic_partner.n.01	domestic_partner.n.01
writer.n.01	writer.n.01
educator.n.01	educator.n.01
percentage.n.01	percentage.n.01
virtue.n.04	virtue.n.04
statement.n.07	statement.n.07
town.n.01	town.n.01
telephone.n.01	telephone.n.01
cardinal_virtue.n.01	cardinal_virtue.n.01
property.n.01	property.n.01
performing_arts.n.01	performing_arts.n.01
spouse.n.01	spouse.n.01
care.n.01	care.n.01
section.n.03	section.n.03
day.n.04	day.n.04
carnivore.n.01	carnivore.n.01
know-how.n.01	know-how.n.01
vicinity.n.01	vicinity.n.01
color.n.08	color.n.08
chemical_element.n.01	chemical_element.n.01
duty.n.02	duty.n.02
female_offspring.n.01	female_offspring.n.01
daughter.n.01	daughter.n.01
residential_district.n.01	residential_district.n.01
weather.n.01	weather.n.01
structure.n.04	structure.n.04
affair.n.03	affair.n.03
era.n.01	era.n.01
sexual_activity.n.01	sexual_activity.n.01
charge.n.08	charge.n.08
levy.n.01	levy.n.01
experience.n.01	experience.n.01
side.n.05	side.n.05
news.n.02	news.n.02
path.n.04	path.n.04
set.n.13	set.n.13
molecule.n.01	molecule.n.01
tax.n.01	tax.n.01
decision.n.01	decision.n.01
military_action.n.01	military_action.n.01
receiver.n.01	receiver.n.01
fabric.n.01	fabric.n.01
hand.n.01	hand.n.01
post.n.01	post.n.01
perception.n.03	perception.n.03
macromolecule.n.01	macromolecule.n.01
network.n.05	network.n.05
medicine.n.02	medicine.n.02
decoration.n.01	decoration.n.01
inclination.n.01	inclination.n.01
program.n.07	program.n.07
spacing.n.02	spacing.n.02
act.n.01	act.n.01
discrimination.n.02	discrimination.n.02
commitment.n.04	commitment.n.04
success.n.01	success.n.01
activeness.n.02	activeness.n.02
map.n.01	map.n.01
firm.n.01	firm.n.01
meaning.n.01	meaning.n.01
computer_network.n.01	computer_network.n.01
time_interval.n.01	time_interval.n.01
meter.n.01	meter.n.01
aim.n.02	aim.n.02
legislature.n.01	legislature.n.01
compass_point.n.01	compass_point.n.01
meal.n.01	meal.n.01
weapon.n.01	weapon.n.01
mark.n.10	mark.n.10
restaurant.n.01	restaurant.n.01
physical_property.n.01	physical_property.n.01
night.n.01	night.n.01
disease.n.01	disease.n.01
military_unit.n.01	military_unit.n.01
head.n.04	head.n.04
legal_right.n.01	legal_right.n.01
son.n.01	son.n.01
male_offspring.n.01	male_offspring.n.01
body.n.01	body.n.01
profession.n.02	profession.n.02
size.n.01	size.n.01
service.n.01	service.n.01
fixed_charge.n.01	fixed_charge.n.01
mail.n.01	mail.n.01
intellectual.n.01	intellectual.n.01
fact.n.02	fact.n.02
recording.n.03	recording.n.03
hour.n.02	hour.n.02
rate.n.01	rate.n.01
class.n.01	class.n.01
news.n.01	news.n.01
figure.n.06	figure.n.06
righteousness.n.01	righteousness.n.01
plan_of_action.n.01	plan_of_action.n.01
punctuation.n.02	punctuation.n.02
law.n.03	law.n.03
act.n.04	act.n.04
sale.n.02	sale.n.02
outdoor_game.n.01	outdoor_game.n.01
accommodation.n.05	accommodation.n.05
time_of_life.n.01	time_of_life.n.01
skill.n.02	skill.n.02
place_of_worship.n.01	place_of_worship.n.01
method.n.01	method.n.01
trouble.n.03	trouble.n.03
acquaintance.n.03	acquaintance.n.03
gift.n.01	gift.n.01
tool.n.01	tool.n.01
club.n.02	club.n.02
advocate.n.01	advocate.n.01
service.n.15	service.n.15
covering.n.01	covering.n.01
television_receiver.n.01	television_receiver.n.01
promotion.n.01	promotion.n.01
practice.n.05	practice.n.05
school.n.02	school.n.02
internet.n.01	internet.n.01
health_professional.n.01	health_professional.n.01
dominance.n.02	dominance.n.02
criticism.n.03	criticism.n.03
assembly.n.06	assembly.n.06
attempt.n.01	attempt.n.01
identification.n.02	identification.n.02
quality.n.02	quality.n.02
good.n.03	good.n.03
ship.n.01	ship.n.01
negotiator.n.01	negotiator.n.01
preserver.n.03	preserver.n.03
defender.n.01	defender.n.01
sequence.n.01	sequence.n.01
cardinal_compass_point.n.01	cardinal_compass_point.n.01
praise.n.01	praise.n.01
topic.n.02	topic.n.02
month.n.02	month.n.02
period.n.07	period.n.07
diary.n.01	diary.n.01
demonstration.n.05	demonstration.n.05
motion.n.03	motion.n.03
mark.n.01	mark.n.01
review.n.02	review.n.02
drawing.n.02	drawing.n.02
guidance.n.01	guidance.n.01
acting.n.01	acting.n.01
good_fortune.n.01	good_fortune.n.01
distance.n.01	distance.n.01
money.n.03	money.n.03
positive_identification.n.01	positive_identification.n.01
labor.n.02	labor.n.02
natural_virtue.n.01	natural_virtue.n.01
center.n.03	center.n.03
mass_unit.n.01	mass_unit.n.01
employee.n.01	employee.n.01
time_off.n.01	time_off.n.01
change_of_magnitude.n.01	change_of_magnitude.n.01
web_log.n.01	web_log.n.01
school.n.06	school.n.06
government_department.n.01	government_department.n.01
benefit.n.02	benefit.n.02
guest.n.01	guest.n.01
biography.n.01	biography.n.01
rank.n.02	rank.n.02
examination.n.02	examination.n.02
inspection.n.01	inspection.n.01
crime.n.01	crime.n.01
metallic_element.n.01	metallic_element.n.01
representative.n.01	representative.n.01
duty.n.01	duty.n.01
safety.n.01	safety.n.01
community.n.01	community.n.01
portrayal.n.02	portrayal.n.02
inhabitant.n.01	inhabitant.n.01
distribution.n.03	distribution.n.03
recommendation.n.02	recommendation.n.02
remark.n.01	remark.n.01
tissue.n.01	tissue.n.01
change_of_integrity.n.01	change_of_integrity.n.01
temporal_property.n.01	temporal_property.n.01
character.n.04	character.n.04
application.n.01	application.n.01
meeting.n.04	meeting.n.04
intensity.n.02	intensity.n.02
fuel.n.01	fuel.n.01
nonaccomplishment.n.01	nonaccomplishment.n.01
pair.n.03	pair.n.03
board.n.01	board.n.01
line.n.03	line.n.03
guy.n.01	guy.n.01
discussion.n.02	discussion.n.02
field_game.n.01	field_game.n.01
point.n.07	point.n.07
stimulation.n.02	stimulation.n.02
training.n.01	training.n.01
transmission.n.02	transmission.n.02
serial.n.01	serial.n.01
note.n.07	note.n.07
support.n.02	support.n.02
side.n.10	side.n.10
acquiring.n.01	acquiring.n.01
friend.n.01	friend.n.01
interpretation.n.03	interpretation.n.03
population.n.01	population.n.01
enterprise.n.01	enterprise.n.01
justice.n.01	justice.n.01
kingdom.n.01	kingdom.n.01
medical_practitioner.n.01	medical_practitioner.n.01
match.n.02	match.n.02
staff.n.01	staff.n.01
force.n.03	force.n.03
file.n.01	file.n.01
alcohol.n.01	alcohol.n.01
purpose.n.01	purpose.n.01
connection.n.01	connection.n.01
social_gathering.n.01	social_gathering.n.01
leisure.n.01	leisure.n.01
secret.n.02	secret.n.02
horizontal_surface.n.01	horizontal_surface.n.01
musical_organization.n.01	musical_organization.n.01
serviceman.n.01	serviceman.n.01
species.n.01	species.n.01
measuring_instrument.n.01	measuring_instrument.n.01
teacher.n.01	teacher.n.01
prosperity.n.02	prosperity.n.02
doctor.n.01	doctor.n.01
standing.n.01	standing.n.01
passage.n.02	passage.n.02
juvenile.n.01	juvenile.n.01
bodily_property.n.01	bodily_property.n.01
industry.n.02	industry.n.02
vacation.n.01	vacation.n.01
war.n.03	war.n.03
animal_tissue.n.01	animal_tissue.n.01
power.n.05	power.n.05
power.n.01	power.n.01
decree.n.01	decree.n.01
line.n.18	line.n.18
natural_language.n.01	natural_language.n.01
password.n.01	password.n.01
report.n.03	report.n.03
march.n.01	march.n.01
wellbeing.n.01	wellbeing.n.01
obstruction.n.01	obstruction.n.01
electronic_communication.n.01	electronic_communication.n.01
beginning.n.04	beginning.n.04
operation.n.08	operation.n.08
body_covering.n.01	body_covering.n.01
musical_instrument.n.01	musical_instrument.n.01
father.n.01	father.n.01
electronic_mail.n.01	electronic_mail.n.01
convergence.n.01	convergence.n.01
church.n.02	church.n.02
garment.n.01	garment.n.01
scholar.n.01	scholar.n.01
injury.n.01	injury.n.01
businessman.n.01	businessman.n.01
form.n.03	form.n.03
residence.n.02	residence.n.02
meeting.n.03	meeting.n.03
excerpt.n.01	excerpt.n.01
set.n.02	set.n.02
impression.n.01	impression.n.01
entree.n.02	entree.n.02
mother.n.01	mother.n.01
sketch.n.01	sketch.n.01
digit.n.01	digit.n.01
visual_property.n.01	visual_property.n.01
business_activity.n.01	business_activity.n.01
reproductive_structure.n.01	reproductive_structure.n.01
village.n.01	village.n.01
token.n.01	token.n.01
produce.n.01	produce.n.01
age.n.01	age.n.01
work_time.n.01	work_time.n.01
solution.n.05	solution.n.05
lover.n.01	lover.n.01
ad.n.01	ad.n.01
today.n.02	today.n.02
ingredient.n.03	ingredient.n.03
meeting.n.01	meeting.n.01
change_of_location.n.01	change_of_location.n.01
health.n.01	health.n.01
kilometer.n.01	kilometer.n.01
print_media.n.01	print_media.n.01
differentiation.n.01	differentiation.n.01
vote.n.02	vote.n.02
flavorer.n.01	flavorer.n.01
sensation.n.01	sensation.n.01
design.n.06	design.n.06
engineering.n.02	engineering.n.02
party.n.01	party.n.01
set.n.01	set.n.01
numerical_quantity.n.01	numerical_quantity.n.01
spiritual_leader.n.01	spiritual_leader.n.01
literary_composition.n.01	literary_composition.n.01
operation.n.02	operation.n.02
administrator.n.01	administrator.n.01
press.n.02	press.n.02
vegetation.n.01	vegetation.n.01
value.n.01	value.n.01
contact_sport.n.01	contact_sport.n.01
version.n.01	version.n.01
line.n.29	line.n.29
official.n.01	official.n.01
floor.n.02	floor.n.02
proposition.n.01	proposition.n.01
monetary_unit.n.01	monetary_unit.n.01
movement.n.11	movement.n.11
sheet.n.06	sheet.n.06
path.n.03	path.n.03
research.n.01	research.n.01
administration.n.02	administration.n.02
risk.n.02	risk.n.02
display.n.01	display.n.01
while.n.01	while.n.01
stream.n.01	stream.n.01
fruit.n.01	fruit.n.01
control.n.05	control.n.05
notation.n.01	notation.n.01
supporter.n.01	supporter.n.01
promise.n.01	promise.n.01
athlete.n.01	athlete.n.01
army_unit.n.01	army_unit.n.01
indo-european.n.02	indo-european.n.02
state.n.01	state.n.01
character.n.07	character.n.07
summer.n.01	summer.n.01
type.n.01	type.n.01
detail.n.02	detail.n.02
beginning.n.02	beginning.n.02
move.n.01	move.n.01
postulate.n.01	postulate.n.01
gas.n.02	gas.n.02
premise.n.01	premise.n.01
group.n.03	group.n.03
propulsion.n.02	propulsion.n.02
effort.n.02	effort.n.02
card.n.01	card.n.01
misfortune.n.01	misfortune.n.01
baked_goods.n.01	baked_goods.n.01
complex_number.n.01	complex_number.n.01
real_number.n.01	real_number.n.01
woody_plant.n.01	woody_plant.n.01
house.n.05	house.n.05
barrier.n.01	barrier.n.01
right.n.07	right.n.07
ocean.n.02	ocean.n.02
operation.n.05	operation.n.05
executive_department.n.01	executive_department.n.01
federal_department.n.01	federal_department.n.01
january.n.01	january.n.01
end.n.02	end.n.02
election.n.01	election.n.01
art.n.01	art.n.01
kindness.n.03	kindness.n.03
present.n.01	present.n.01
conversation.n.01	conversation.n.01
lipid.n.01	lipid.n.01
canine.n.02	canine.n.02
sick_person.n.01	sick_person.n.01
album.n.01	album.n.01
elegance.n.01	elegance.n.01
vote.n.01	vote.n.01
output.n.04	output.n.04
ability.n.01	ability.n.01
maneuver.n.04	maneuver.n.04
